                                                                                                                                                                                                                                         
{'loss': '24.61', 'grad_norm': '137.3', 'learning_rate': '0.0001083', 'epoch': '0.1628'}
{'loss': '18.1', 'grad_norm': '131.8', 'learning_rate': '0.0001101', 'epoch': '0.1655'}
{'loss': '5.361', 'grad_norm': '44.48', 'learning_rate': '0.0001119', 'epoch': '0.1682'}
{'loss': '0.8595', 'grad_norm': '16.08', 'learning_rate': '0.0001137', 'epoch': '0.1709'}
{'loss': '0.1609', 'grad_norm': '1.875', 'learning_rate': '0.0001156', 'epoch': '0.1736'}
{'loss': '5.376', 'grad_norm': '34.14', 'learning_rate': '0.0001174', 'epoch': '0.1764'}
{'loss': '3.664', 'grad_norm': '0.3835', 'learning_rate': '0.0001192', 'epoch': '0.1791'}
{'loss': '0.007936', 'grad_norm': '0.2429', 'learning_rate': '0.000121', 'epoch': '0.1818'}
{'loss': '0.00453', 'grad_norm': '0.1368', 'learning_rate': '0.0001228', 'epoch': '0.1845'}
{'loss': '0.002662', 'grad_norm': '0.08481', 'learning_rate': '0.0001246', 'epoch': '0.1872'}
{'loss': '7.104', 'grad_norm': '0.1568', 'learning_rate': '0.0001264', 'epoch': '0.1899'}
{'loss': '0.004826', 'grad_norm': '0.1985', 'learning_rate': '0.0001282', 'epoch': '0.1926'}
{'loss': '6.486', 'grad_norm': '68.2', 'learning_rate': '0.00013', 'epoch': '0.1954'}
{'loss': '11.49', 'grad_norm': '67.37', 'learning_rate': '0.0001318', 'epoch': '0.1981'}
{'loss': '8.122', 'grad_norm': '59.81', 'learning_rate': '0.0001336', 'epoch': '0.2008'}
{'loss': '8.81', 'grad_norm': '51.8', 'learning_rate': '0.0001354', 'epoch': '0.2035'}
{'loss': '6.326', 'grad_norm': '157.7', 'learning_rate': '0.0001373', 'epoch': '0.2062'}
{'loss': '4.078', 'grad_norm': '66.05', 'learning_rate': '0.0001391', 'epoch': '0.2089'}
{'loss': '0.8431', 'grad_norm': '12.19', 'learning_rate': '0.0001409', 'epoch': '0.2116'}
{'loss': '0.0999', 'grad_norm': '0.6011', 'learning_rate': '0.0001427', 'epoch': '0.2143'}
{'loss': '6.76', 'grad_norm': '69.38', 'learning_rate': '0.0001445', 'epoch': '0.2171'}
{'loss': '23.21', 'grad_norm': '136.4', 'learning_rate': '0.0001463', 'epoch': '0.2198'}
{'loss': '10.33', 'grad_norm': '55.51', 'learning_rate': '0.0001481', 'epoch': '0.2225'}
{'loss': '4.587', 'grad_norm': '45.2', 'learning_rate': '0.0001499', 'epoch': '0.2252'}
{'loss': '4.282', 'grad_norm': '13.75', 'learning_rate': '0.0001517', 'epoch': '0.2279'}
{'loss': '4.133', 'grad_norm': '4.815', 'learning_rate': '0.0001535', 'epoch': '0.2306'}
{'loss': '3.88', 'grad_norm': '10.73', 'learning_rate': '0.0001553', 'epoch': '0.2333'}
{'loss': '5.675', 'grad_norm': '16.2', 'learning_rate': '0.0001571', 'epoch': '0.2361'}
{'loss': '5.136', 'grad_norm': '35.14', 'learning_rate': '0.000159', 'epoch': '0.2388'}
{'loss': '6.112', 'grad_norm': '30.24', 'learning_rate': '0.0001608', 'epoch': '0.2415'}
