                                                                                                                                                                                                                                         
{'loss': '4.834', 'grad_norm': '43.16', 'learning_rate': '0.0001744', 'epoch': '0.6474'}
{'loss': '4.727', 'grad_norm': '56.57', 'learning_rate': '0.0001736', 'epoch': '0.6579'}
{'loss': '5.566', 'grad_norm': '10.88', 'learning_rate': '0.0001729', 'epoch': '0.6683'}
{'loss': '5.426', 'grad_norm': '22.39', 'learning_rate': '0.0001721', 'epoch': '0.6788'}
{'loss': '4.881', 'grad_norm': '9.73', 'learning_rate': '0.0001713', 'epoch': '0.6892'}
{'loss': '3.979', 'grad_norm': '43.73', 'learning_rate': '0.0001705', 'epoch': '0.6996'}
{'loss': '3.285', 'grad_norm': '16.38', 'learning_rate': '0.0001698', 'epoch': '0.7101'}
{'loss': '2.756', 'grad_norm': '11.93', 'learning_rate': '0.000169', 'epoch': '0.7205'}
{'loss': '3.77', 'grad_norm': '38.21', 'learning_rate': '0.0001682', 'epoch': '0.731'}
{'loss': '4.527', 'grad_norm': '51.1', 'learning_rate': '0.0001674', 'epoch': '0.7414'}
{'loss': '3.344', 'grad_norm': '31.52', 'learning_rate': '0.0001667', 'epoch': '0.7519'}
{'loss': '2.722', 'grad_norm': '32.33', 'learning_rate': '0.0001659', 'epoch': '0.7623'}
{'loss': '2.842', 'grad_norm': '19.56', 'learning_rate': '0.0001651', 'epoch': '0.7727'}
{'loss': '3.869', 'grad_norm': '14.84', 'learning_rate': '0.0001643', 'epoch': '0.7832'}
{'loss': '3.916', 'grad_norm': '51.46', 'learning_rate': '0.0001636', 'epoch': '0.7936'}
{'loss': '5.052', 'grad_norm': '58.01', 'learning_rate': '0.0001628', 'epoch': '0.8041'}
{'loss': '5.632', 'grad_norm': '33.8', 'learning_rate': '0.000162', 'epoch': '0.8145'}
{'loss': '4.406', 'grad_norm': '16.96', 'learning_rate': '0.0001613', 'epoch': '0.825'}
{'loss': '3.983', 'grad_norm': '25.86', 'learning_rate': '0.0001605', 'epoch': '0.8354'}
{'loss': '3.46', 'grad_norm': '15.52', 'learning_rate': '0.0001597', 'epoch': '0.8458'}
{'loss': '3.757', 'grad_norm': '31.49', 'learning_rate': '0.0001589', 'epoch': '0.8563'}
{'loss': '3.434', 'grad_norm': '25.57', 'learning_rate': '0.0001582', 'epoch': '0.8667'}
